x,y_left,y_right
50.0,1.2800000000000002,-1.2800000000000002
57.5,1.2800000000000002,-1.2800000000000002
65.0,1.2800000000000002,-1.2800000000000002
95.0,4.99,2.2199999999999998
107.5,4.99,2.2199999999999998
120.0,4.99,2.2199999999999998
