heading,x_sim,y_sim,dist,s
0.0,0.0,0.0,0.0,0.0
5.5844790413137224e-191,0.22577563695836445,-2.2497128441145874e-191,0.22577563695836445,0.22577563695836445
-2.9070776795026915e-190,0.4515512739167287,1.116895808262745e-190,0.22577563695836428,0.4515512739167287
1.3318614629335305e-189,0.6773269108750931,-6.039126643416841e-190,0.2257756369583644,0.6773269108750931
-5.143893956252939e-189,0.9031025478334577,2.7754125066933354e-189,0.22577563695836456,0.9031025478334577
1.6145667617418506e-188,1.1288781847918223,-1.0891700576847562e-188,0.22577563695836467,1.1288781847918223
-3.122871747030338e-188,1.354653821750187,3.5066747741530345e-188,0.22577563695836456,1.354653821750187
-7.199760164427236e-188,1.5804294587085506,-7.334913551745433e-188,0.22577563695836367,1.5804294587085506
1.239750868050086e-186,1.8062050956669153,-1.0892845554701439e-187,0.22577563695836478,1.8062050956669153
-8.49250002069681e-186,2.0319807326252795,2.4061526005827177e-186,0.2257756369583641,2.0319807326252795
4.400481419361098e-185,2.257756369583644,-1.7093928496940633e-185,0.22577563695836433,2.257756369583644
-1.9164456006708068e-184,2.4835320065420086,9.041578098780467e-185,0.22577563695836478,2.4835320065420086
7.090189095270826e-184,2.7093076435003733,-4.00383048631102e-184,0.22577563695836478,2.7093076435003733
-2.0709239162999846e-183,2.9350832804587377,1.50845360004197e-183,0.22577563695836433,2.9350832804587377
2.973614663876331e-183,3.160858917417102,-4.542230881231071e-183,0.22577563695836433,3.160858917417102
1.823767183149464e-182,3.3866345543754663,7.455682927794632e-183,0.22577563695836433,3.3866345543754663
-2.0949949580628455e-181,3.61241019133383,3.193311278175821e-182,0.22577563695836345,3.61241019133383
1.3156905056641115e-180,3.8381858282921946,-4.115433086847745e-181,0.22577563695836478,3.8381858282921946
-6.507704830566045e-180,4.063961465250562,2.663314124109981e-180,0.225775636958367,4.063961465250562
2.7289854510314898e-179,4.289737102208925,-1.3426952969816866e-179,0.225775636958363,4.289737102208925
-9.648000445803863e-179,4.51551273916729,5.7243023144739775e-179,0.22577563695836567,4.51551273916729
2.575361318718945e-178,4.741288376125653,-2.0638696188589412e-178,0.225775636958363,4.741288376125653
-1.9354636829319213e-178,4.967064013084017,5.723152868885288e-178,0.2257756369583639,4.967064013084017
-3.774378467524635e-177,5.192839650042383,-5.934796984722784e-178,0.22577563695836567,5.192839650042383
3.440558565665324e-176,5.418615287000746,-6.976441648160741e-177,0.225775636958363,5.418615287000746
-2.0118956967465277e-175,5.644390923959111,6.82176916148342e-176,0.22577563695836478,5.644390923959111
9.535078093299314e-175,5.870166560917475,-4.093555809974663e-175,0.22577563695836478,5.870166560917475
-3.8491728658520925e-174,6.09594219787584,1.975233310274697e-174,0.22577563695836478,6.09594219787584
1.2934953158234627e-173,6.321717834834206,-8.107701312701651e-174,0.22577563695836567,6.321717834834206
-3.0651049489107956e-173,6.54749347179257,2.7845139626743953e-173,0.2257756369583639,6.54749347179257
-8.049478352554768e-174,6.773269108750933,-6.940980029091756e-173,0.225775636958363,6.773269108750933
7.08238490214045e-172,6.999044745709299,1.1746182921634417e-173,0.22577563695836655,6.999044745709299
-5.52505182240058e-171,7.224820382667658,1.3470671801371726e-171,0.22577563695835856,7.224820382667658
3.0410316862963128e-170,7.450596019626025,-1.1038357461879525e-170,0.22577563695836744,7.450596019626025
-1.3845280837745023e-169,7.67637165658439,6.2167700906063425e-170,0.22577563695836478,7.67637165658439
5.374185543071427e-169,7.902147293542753,-2.8794397421678e-169,0.225775636958363,7.902147293542753
-1.703449480532292e-168,8.127922930501116,1.1370048095203487e-168,0.225775636958363,8.127922930501116
3.406059000885054e-168,8.353698567459482,-3.694842935281364e-168,0.22577563695836567,8.353698567459482
6.617579296882254e-168,8.579474204417851,7.949122811290457e-168,0.22577563695836922,8.579474204417851
-1.2525402236225812e-166,8.805249841376211,9.540315658483144e-168,0.22577563695836034,8.805249841376211
8.711450363050758e-166,9.031025478334579,-2.425589219132258e-166,0.22577563695836744,9.031025478334579
-4.548311732799369e-165,9.256801115292944,1.7518303882686348e-165,0.22577563695836567,9.256801115292944
1.992431736662176e-164,9.482576752251308,-9.339182387511964e-165,0.2257756369583639,9.482576752251308
-7.420391782025953e-164,9.70835238920967,4.160046512151215e-164,0.2257756369583621,9.70835238920967
2.1936518656177352e-163,9.934128026168034,-1.57747018028031e-163,0.2257756369583639,9.934128026168034
-3.339469442949295e-163,10.159903663126396,4.803308382450592e-163,0.2257756369583621,10.159903663126396
-1.7673949807190502e-162,10.385679300084764,-8.256409066178901e-163,0.22577563695836744,10.385679300084764
2.1275008185707945e-161,10.61145493704313,-3.054459123193041e-162,0.22577563695836567,10.61145493704313
-1.3525360819752105e-160,10.837230574001488,4.1724375464798004e-161,0.22577563695835856,10.837230574001488
6.736116249031705e-160,11.063006210959855,-2.7356167551823514e-160,0.22577563695836744,11.063006210959855
-2.8412686138427866e-159,11.288781847918221,1.3889476252711392e-159,0.22577563695836567,11.288781847918221
1.011836951297263e-158,11.514557484876587,-5.956098903203808e-159,0.22577563695836567,11.514557484876587
-2.7428404949993362e-158,11.740333121834949,2.16256866512164e-158,0.2257756369583621,11.740333121834949
2.3957514195266535e-158,11.966108758793313,-6.0812908803190535e-158,0.2257756369583639,11.966108758793313
3.7368105896339045e-157,12.191884395751678,6.954071504174947e-158,0.22577563695836567,12.191884395751678
-3.507686573029972e-156,12.417660032710048,6.865492091235903e-157,0.22577563695836922,12.417660032710048
2.072174703626265e-155,12.643435669668406,-6.945832431018195e-156,0.22577563695835856,12.643435669668406
