heading,x_sim,y_sim,dist,s
0.0,0.0,0.0,0.0,0.0
5.5165477183346075e-191,0.22547578296311532,-2.2244101172040765e-191,0.22547578296311532,0.22547578296311532
-2.877191961564865e-190,0.4509515659262309,1.1033095436669216e-190,0.2254757829631156,0.4509515659262309
1.3239303792504151e-189,0.6764273488893461,-5.976824934850138e-190,0.22547578296311516,0.6764273488893461
-5.156346407493328e-189,0.9019031318524615,2.7581917128675223e-189,0.22547578296311543,0.9019031318524615
1.649560023316584e-188,1.1273789148155773,-1.0910375308471669e-188,0.22547578296311577,1.1273789148155773
-3.434824482098962e-188,1.3528546977786928,3.57493921791992e-188,0.22547578296311555,1.3528546977786928
-5.0675552374987333e-188,1.5783304807418073,-7.96068649504509e-188,0.22547578296311444,1.5783304807418073
1.1303355262380186e-186,1.8038062637049228,-6.560171257077546e-188,0.22547578296311555,1.8038062637049228
-8.051802801033626e-186,2.029282046668038,2.1810641875255865e-186,0.22547578296311532,2.029282046668038
4.262231910916229e-185,2.254757829631154,-1.6169207314638026e-185,0.225475782963116,2.254757829631154
-1.892298212674284e-184,2.4802336125942706,8.742570240585016e-185,0.22547578296311643,2.4802336125942706
7.182007962549e-184,2.705709395557386,-3.946288498494948e-184,0.22547578296311555,2.705709395557386
-2.2078315679960366e-183,2.9311851785205,1.5238272949156502e-183,0.22547578296311377,2.9311851785205
4.0161936146034595e-183,3.1566609614836154,-4.810291985841568e-183,0.22547578296311555,3.1566609614836154
1.188684307774741e-182,3.3821367444467314,9.556214524122568e-183,0.225475782963116,3.3821367444467314
-1.8028118351018412e-181,3.607612527409846,1.8963394169653254e-182,0.22547578296311466,3.607612527409846
1.2082981766250332e-180,3.8330883103729616,-3.510061524962457e-181,0.22547578296311555,3.8330883103729616
-6.205417834352507e-180,4.058564093336077,2.4355597474197195e-180,0.22547578296311555,4.058564093336077
2.692040280010683e-179,4.284039876299192,-1.2761841821201261e-179,0.2254757829631151,4.284039876299192
-9.958294914994129e-179,4.5095156592623065,5.6276365347633375e-179,0.2254757829631142,4.5095156592623065
2.927137846908499e-178,4.734991442225423,-2.1192774012108385e-178,0.22547578296311688,4.734991442225423
-4.411989204219666e-178,4.9604672251885376,6.417039347293331e-178,0.2254757829631142,4.9604672251885376
-2.371091207694721e-177,5.185943008151653,-1.094325580965017e-177,0.2254757829631151,5.185943008151653
2.836750096663827e-176,5.411418791114769,-4.100478480660109e-177,0.225475782963116,5.411418791114769
-1.803232738150416e-175,5.636894574077885,5.5640676352311524e-176,0.225475782963116,5.636894574077885
9.00162741155659e-175,5.862370357040998,-3.647470261107433e-175,0.22547578296311332,5.862370357040998
-3.816638733809231e-174,6.087846140004116,1.8559661586636296e-174,0.22547578296311777,6.087846140004116
